,Unnamed: 0,filename,label,custom_model_response,custom_model_label,custom_model_confidence,custom_model_quality,image_name_x,aws_labels,image_name_y,aws_custom_labels,image_name,google_moderation_labels
0,0,BreastExam/dreamstimemaximum_250259473.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 92.67500305175781}]",['non_suggestive'],[92.67500305175781],TN,BreastExam/dreamstimemaximum_250259473.jpg,[],BreastExam/dreamstimemaximum_250259473.jpg,"[{""Name"": ""health_context"", ""Confidence"": 73.44999694824219}, {""Name"": ""breast_exam"", ""Confidence"": 65.76499938964844}, {""Name"": ""pregnancy_visible"", ""Confidence"": 63.551002502441406}, {""Name"": ""underwear_visible"", ""Confidence"": 62.84199905395508}, {""Name"": ""non_suggestive"", ""Confidence"": 60.000003814697266}, {""Name"": ""pregant_belly_exposed"", ""Confidence"": 60.000003814697266}, {""Name"": ""suggestive"", ""Confidence"": 58.34000015258789}]",BreastExam/dreamstimemaximum_250259473.jpg,"{""adult"": ""POSSIBLE"", ""medical"": ""POSSIBLE"", ""spoofed"": ""UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
1,1,BreastExam/dreamstimemaximum_207123274.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 96.83799743652344}]",['non_suggestive'],[96.83799743652344],TN,BreastExam/dreamstimemaximum_207123274.jpg,[],BreastExam/dreamstimemaximum_207123274.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 91.05500030517578}, {""Name"": ""pregant_belly_exposed"", ""Confidence"": 85.73500061035156}, {""Name"": ""health_context"", ""Confidence"": 77.1259994506836}, {""Name"": ""pregnancy_visible"", ""Confidence"": 71.91799926757812}, {""Name"": ""breast_exam"", ""Confidence"": 60.000003814697266}]",BreastExam/dreamstimemaximum_207123274.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""LIKELY"", ""spoofed"": ""UNLIKELY"", ""violence"": ""UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
2,2,BreastExam/dreamstimemaximum_133939417.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 98.40599822998047}]",['non_suggestive'],[98.40599822998047],TN,BreastExam/dreamstimemaximum_133939417.jpg,[],BreastExam/dreamstimemaximum_133939417.jpg,"[{""Name"": ""breast_exam"", ""Confidence"": 97.37699890136719}, {""Name"": ""non_suggestive"", ""Confidence"": 97.3479995727539}, {""Name"": ""underwear_visible"", ""Confidence"": 92.29199981689453}, {""Name"": ""health_context"", ""Confidence"": 91.49299621582031}]",BreastExam/dreamstimemaximum_133939417.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""LIKELY"", ""spoofed"": ""POSSIBLE"", ""violence"": ""UNLIKELY"", ""racy"": ""LIKELY""}"
3,3,BreastExam/dreamstimemaximum_96797189.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 78.85700225830078}]",['non_suggestive'],[78.85700225830078],TN,BreastExam/dreamstimemaximum_96797189.jpg,[],BreastExam/dreamstimemaximum_96797189.jpg,"[{""Name"": ""topless_breasts"", ""Confidence"": 91.65499877929688}, {""Name"": ""non_suggestive"", ""Confidence"": 85.47000122070312}, {""Name"": ""health_context"", ""Confidence"": 83.59500122070312}, {""Name"": ""breast_exam"", ""Confidence"": 66.7020034790039}, {""Name"": ""pregnancy_visible"", ""Confidence"": 53.52899932861328}, {""Name"": ""nipple_exposed"", ""Confidence"": 50.17499923706055}]",BreastExam/dreamstimemaximum_96797189.jpg,"{""adult"": ""VERY_UNLIKELY"", ""medical"": ""UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""POSSIBLE""}"
4,4,BreastExam/dreamstimemaximum_94323393.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 87.16799926757812}]",['non_suggestive'],[87.16799926757812],TN,BreastExam/dreamstimemaximum_94323393.jpg,[],BreastExam/dreamstimemaximum_94323393.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 91.63899993896484}, {""Name"": ""health_context"", ""Confidence"": 90.87999725341797}, {""Name"": ""breast_exam"", ""Confidence"": 83.06000518798828}, {""Name"": ""topless_breasts"", ""Confidence"": 60.000003814697266}, {""Name"": ""nipple_exposed"", ""Confidence"": 56.457000732421875}]",BreastExam/dreamstimemaximum_94323393.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""POSSIBLE""}"
5,5,BreastExam/dreamstimemaximum_94306606.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 98.98600006103516}]",['non_suggestive'],[98.98600006103516],TN,BreastExam/dreamstimemaximum_94306606.jpg,"[{name"": ""Explicit"", ""parent_name"": """"}, {""name"": ""Exposed Female Nipple"", ""parent_name"": ""Explicit Nudity""}, {""name"": ""Explicit Nudity"", ""parent_name"": ""Explicit""}]""",BreastExam/dreamstimemaximum_94306606.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 87.9749984741211}, {""Name"": ""breast_exam"", ""Confidence"": 73.9990005493164}, {""Name"": ""health_context"", ""Confidence"": 71.41899871826172}, {""Name"": ""nipple_exposed"", ""Confidence"": 60.000003814697266}]",BreastExam/dreamstimemaximum_94306606.jpg,"{""adult"": ""LIKELY"", ""medical"": ""UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
6,6,BreastExam/dreamstimemaximum_59736182.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 99.06999969482422}]",['non_suggestive'],[99.06999969482422],TN,BreastExam/dreamstimemaximum_59736182.jpg,"[{name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Female Breast"", ""parent_name"": ""Non-Explicit Nudity""}, {""name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}]""",BreastExam/dreamstimemaximum_59736182.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 95.36299896240234}, {""Name"": ""health_context"", ""Confidence"": 85.0260009765625}, {""Name"": ""nipple_exposed"", ""Confidence"": 74.21399688720703}, {""Name"": ""breast_exam"", ""Confidence"": 64.70000457763672}, {""Name"": ""underwear_visible"", ""Confidence"": 60.000003814697266}]",BreastExam/dreamstimemaximum_59736182.jpg,"{""adult"": ""VERY_UNLIKELY"", ""medical"": ""LIKELY"", ""spoofed"": ""UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
7,7,Menstruation/What_are_heavy_periods_Kk8hREp.width-960.png,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 98.94599914550781}]",['non_suggestive'],[98.94599914550781],TN,Menstruation/What_are_heavy_periods_Kk8hREp.width-960.png,[],Menstruation/What_are_heavy_periods_Kk8hREp.width-960.png,"[{""Name"": ""non_suggestive"", ""Confidence"": 80.04399871826172}, {""Name"": ""health_context"", ""Confidence"": 69.2179946899414}]",,
8,8,ReproductiveHealth/dreamstimemaximum_45400686.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 93.45899963378906}]",['non_suggestive'],[93.45899963378906],TN,ReproductiveHealth/dreamstimemaximum_45400686.jpg,[],ReproductiveHealth/dreamstimemaximum_45400686.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 98.5260009765625}, {""Name"": ""health_context"", ""Confidence"": 81.27400207519531}]",ReproductiveHealth/dreamstimemaximum_45400686.jpg,"{""adult"": ""POSSIBLE"", ""medical"": ""LIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
9,9,Suggestive/dreamstimemaximum_194102913.jpg,suggestive,"[{'Name': 'non_suggestive', 'Confidence': 90.71599578857422}]",['non_suggestive'],[90.71599578857422],FN,Suggestive/dreamstimemaximum_194102913.jpg,"[{name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Buttocks"", ""parent_name"": ""Non-Explicit Nudity""}, {""name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}]""",Suggestive/dreamstimemaximum_194102913.jpg,"[{""Name"": ""health_context"", ""Confidence"": 87.18000030517578}, {""Name"": ""non_suggestive"", ""Confidence"": 77.58300018310547}, {""Name"": ""lingerie "", ""Confidence"": 71.47700500488281}, {""Name"": ""swimsuit"", ""Confidence"": 60.000003814697266}, {""Name"": ""underwear_visible"", ""Confidence"": 54.000003814697266}]",Suggestive/dreamstimemaximum_194102913.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""POSSIBLE"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
